title;price_str;price;url
Видеокарта ASUS RX 560 rog stix gaming 4GB;5 500 грн.;5500;https://www.olx.ua/d/obyavlenie/videokarta-asus-rx-560-rog-stix-gaming-4gb-IDNn3uf.html?sd=1#543592af7c
RX Vega 56 не робоча, під ремонт, на запчастини;10 000 грн.;10000;https://www.olx.ua/d/obyavlenie/rx-vega-56-ne-robocha-pd-remont-na-zapchastini-IDNn3Cw.html?sd=1#543592af7c
Видеокарта GTS 450 (GTX450) 512MB;700 грн.;700;https://www.olx.ua/d/obyavlenie/videokarta-gts-450-gtx450-512mb-IDNn3z6.html?sd=1#543592af7c
Видеокарта Palit RTX 3070Ti GAMINGPRO 8GB;45 000 грн.Договорная;45000;https://www.olx.ua/d/obyavlenie/videokarta-palit-rtx-3070ti-gamingpro-8gb-IDNn3jn.html#543592af7c
Видеокарта RTX 3080ti Asus Tuf gaming OC 12GB;70 000 грн.Договорная;70000;https://www.olx.ua/d/obyavlenie/videokarta-rtx-3080ti-asus-tuf-gaming-oc-12gb-IDNn3fJ.html#543592af7c
Видеокарта Sapphire rx 480 4 gb samsung;7 500 грн.;7500;"https://www.olx.ua/d/obyavlenie/videokarta-sapphire-rx-480-4-gb-samsung-IDNdRHb.html?sd=1#543592af7c;promoted"
Rx 470 4 gb powercolor;6 000 грн.;6000;https://www.olx.ua/d/obyavlenie/rx-470-4-gb-powercolor-IDNn3se.html?sd=1#543592af7c
Продаю видеокарту в хорошем состоянии;500 грн.;500;https://www.olx.ua/d/obyavlenie/prodayu-videokartu-v-horoshem-sostoyanii-IDNn3r4.html?sd=1#543592af7c
Gigabyte GTX 1650, видеокарта, GeForce;11 500 грн.Договорная;11500;"https://www.olx.ua/d/obyavlenie/gigabyte-gtx-1650-videokarta-geforce-IDNjcw4.html?sd=1#543592af7c;promoted"
Видеокарта Asus Radeon RX 6600 XT Dual OC;23 500 грн.;23500;"https://www.olx.ua/d/obyavlenie/videokarta-asus-radeon-rx-6600-xt-dual-oc-IDMH06p.html?sd=1#543592af7c;promoted"
Продам майнинг ферму на 11 видеокарт;100 000 грн.;100000;https://www.olx.ua/d/obyavlenie/prodam-mayning-fermu-na-11-videokart-IDN763Y.html#543592af7c
Видеокарта Rx 480 4gb sapphire;7 400 грн.;7400;https://www.olx.ua/d/obyavlenie/videokarta-rx-480-4gb-sapphire-IDNn3gZ.html?sd=1#543592af7c
Видеокарта Nvidia GTX 550ti 2gb gddr5;700 грн.;700;https://www.olx.ua/d/obyavlenie/videokarta-nvidia-gtx-550ti-2gb-gddr5-IDNn3dm.html?sd=1#543592af7c
DVI-D (24+1) на VGA Конвертер цифровой/Видеокарта/адаптер/переходник;95 грн.;95;"https://www.olx.ua/d/obyavlenie/dvi-d-24-1-na-vga-konverter-tsifrovoy-videokarta-adapter-perehodnik-IDGtvls.html?sd=1#543592af7c;promoted"
GTX 1080ti Asus Rog Strix Gaming 11gb;24 500 грн.;24500;"https://www.olx.ua/d/obyavlenie/gtx-1080ti-asus-rog-strix-gaming-11gb-IDNldDb.html?sd=1#543592af7c;promoted"
Майнинг Ферма 7 карт Asus Strix 4gb;66 439 грн.;66439;https://www.olx.ua/d/obyavlenie/mayning-ferma-7-kart-asus-strix-4gb-IDNn2Ql.html#543592af7c
